"Rank","Player","Team","Bye","POS","AVG"
"1","Ja'Marr Chase","CIN","10","WR1","1.0"
"2","Bijan Robinson","ATL","5","RB1","2.0"
"3","Saquon Barkley","PHI","9","RB2","3.0"
"4","Justin Jefferson","MIN","6","WR2","4.5"
"5","Jahmyr Gibbs","DET","8","RB3","4.5"
"6","CeeDee Lamb","DAL","10","WR3","6.0"
"7","Ashton Jeanty","LV","8","RB4","7.5"
"8","Amon-Ra St. Brown","DET","8","WR4","9.0"
"9","Christian McCaffrey","SF","14","RB5","9.5"
"10","Puka Nacua","LAR","8","WR5","9.5"
"11","Malik Nabers","NYG","14","WR6","9.5"
"12","Derrick Henry","BAL","7","RB6","12.5"
"13","Nico Collins","HOU","6","WR7","13.5"
"14","De'Von Achane","MIA","12","RB7","14.0"
"15","Brian Thomas Jr.","JAC","8","WR8","14.0"
"16","Brock Bowers","LV","8","TE1","17.5"
"17","Drake London","ATL","5","WR9","18.0"
"18","Josh Jacobs","GB","5","RB8","19.0"
"19","Bucky Irving","TB","9","RB9","19.0"
"20","Jonathan Taylor","IND","11","RB10","20.5"
"21","Lamar Jackson","BAL","7","QB1","21.0"
"22","A.J. Brown","PHI","9","WR10","21.5"
"23","Josh Allen","BUF","7","QB2","22.5"
"24","Ladd McConkey","LAC","12","WR11","24.0"
"25","Kyren Williams","LAR","8","RB11","26.0"
"26","Chase Brown","CIN","10","RB12","26.5"
"27","Trey McBride","ARI","8","TE2","27.5"
"28","Jayden Daniels","WAS","12","QB3","29.0"
"29","Jaxon Smith-Njigba","SEA","8","WR12","29.5"
"30","Breece Hall","NYJ","9","RB13","29.5"
"31","Tyreek Hill","MIA","12","WR13","31.0"
"32","Tee Higgins","CIN","10","WR14","32.0"
"33","Garrett Wilson","NYJ","9","WR15","32.0"
"34","Joe Burrow","CIN","10","QB4","33.5"
"35","James Cook","BUF","7","RB14","36.0"
"36","Terry McLaurin","WAS","12","WR16","37.0"
"37","Davante Adams","LAR","8","WR17","37.5"
"38","Alvin Kamara","NO","11","RB15","38.0"
"39","Jalen Hurts","PHI","9","QB5","38.0"
"40","Rashee Rice","KC","10","WR18","38.5"
"41","Marvin Harrison Jr.","ARI","8","WR19","39.0"
"42","Mike Evans","TB","9","WR20","43.0"
"43","Kenneth Walker III","SEA","8","RB16","43.0"
"44","George Kittle","SF","14","TE3","44.0"
"45","DJ Moore","CHI","5","WR21","44.5"
"46","Omarion Hampton","LAC","12","RB17","45.5"
"47","Chuba Hubbard","CAR","14","RB18","47.5"
"48","Courtland Sutton","DEN","12","WR22","49.5"
"49","Joe Mixon","HOU","6","RB19","50.5"
"50","DK Metcalf","PIT","5","WR23","51.0"
"51","DeVonta Smith","PHI","9","WR24","53.0"
"52","James Conner","ARI","8","RB20","54.0"
"53","Patrick Mahomes II","KC","10","QB6","55.5"
"54","TreVeyon Henderson","NE","14","RB21","56.0"
"55","Tetairoa McMillan","CAR","14","WR25","57.5"
"56","Jameson Williams","DET","8","WR26","58.5"
"57","Zay Flowers","BAL","7","WR27","59.5"
"58","Baker Mayfield","TB","9","QB7","60.0"
"59","David Montgomery","DET","8","RB22","61.0"
"60","Xavier Worthy","KC","10","WR28","61.5"
"61","Quinshon Judkins","CLE","9","RB23","61.5"
"62","D'Andre Swift","CHI","5","RB24","62.0"
"63","RJ Harvey","DEN","12","RB25","62.5"
"64","Aaron Jones Sr.","MIN","6","RB26","63.0"
"65","Sam LaPorta","DET","8","TE4","63.0"
"66","Chris Godwin","TB","9","WR29","64.5"
"67","Jerry Jeudy","CLE","9","WR30","64.5"
"68","Kaleb Johnson","PIT","5","RB27","68.5"
"69","Jaylen Waddle","MIA","12","WR31","70.5"
"70","George Pickens","DAL","10","WR32","70.5"
"71","Bo Nix","DEN","12","QB8","70.5"
"72","Calvin Ridley","TEN","10","WR33","72.0"
"73","Tony Pollard","TEN","10","RB28","73.0"
"74","Travis Hunter","JAC","8","WR34","74.0"
"75","Isiah Pacheco","KC","10","RB29","74.5"
"76","Chris Olave","NO","11","WR35","74.5"
"77","Jordan Addison","MIN","6","WR36","75.5"
"78","Jauan Jennings","SF","14","WR37","75.5"
"79","Travis Kelce","KC","10","TE5","77.5"
"80","Rome Odunze","CHI","5","WR38","79.5"
